domain,subject,body,label
update-icloud.cn,Claim your reward before it expires,Click the link below to verify your payment details.,0
apple.com,Account login from new device,Here is your invoice for the last billing cycle.,1
apple.com,Invoice for your subscription,Security updates have been applied to your account.,1
microsoft.com,Your receipt from your recent purchase,Your account settings have been updated as requested.,1
google.com,Order confirmation and shipping details,Here is your invoice for the last billing cycle.,1
login-alert.biz,Claim your reward before it expires,We noticed suspicious activity. Login now to secure your account.,0
paypal.com,Order confirmation and shipping details,Here is your invoice for the last billing cycle.,1
secure-paypal.net,Claim your reward before it expires,Click the link below to verify your payment details.,0
accountsafe.live,Reset your password immediately,We noticed suspicious activity. Login now to secure your account.,0
apple.com,Invoice for your subscription,Here is your invoice for the last billing cycle.,1
amaz0n-support.ru,Your payment failed. Click here!,Click the link below to verify your payment details.,0
google.com,Order confirmation and shipping details,Security updates have been applied to your account.,1
amazon.com,Account login from new device,Here is your invoice for the last billing cycle.,1
paypal.com,Security update confirmation,You successfully signed in from a new device.,1
accountsafe.live,Reset your password immediately,Click the link below to verify your payment details.,0
apple.com,Security update confirmation,Your account settings have been updated as requested.,1
login-alert.biz,Your payment failed. Click here!,Click the link below to verify your payment details.,0
apple.com,Security update confirmation,Security updates have been applied to your account.,1
google.com,Security update confirmation,Thank you for shopping with us. Your order has been placed.,1
amazon.com,Order confirmation and shipping details,Thank you for shopping with us. Your order has been placed.,1
microsoft.com,Invoice for your subscription,Thank you for shopping with us. Your order has been placed.,1
google.com,Your receipt from your recent purchase,Thank you for shopping with us. Your order has been placed.,1
update-icloud.cn,Suspicious login detected!,Your account has been compromised. Change your password immediately.,0
microsoft.com,Your receipt from your recent purchase,You successfully signed in from a new device.,1
google.com,Invoice for your subscription,Thank you for shopping with us. Your order has been placed.,1
accountsafe.live,Suspicious login detected!,Click the link below to verify your payment details.,0
secure-paypal.net,Suspicious login detected!,Your email storage is full. Login now to avoid losing emails.,0
apple.com,Your receipt from your recent purchase,You successfully signed in from a new device.,1
google.com,Order confirmation and shipping details,Here is your invoice for the last billing cycle.,1
google.com,Your receipt from your recent purchase,Here is your invoice for the last billing cycle.,1
